ParliamentNumber,SessionNumber,DecisionEventDateTime,DecisionDivisionNumber,PersonShortSalutation,ConstituencyName,VoteValueName,PersonOfficialFirstName,PersonOfficialLastName,ConstituencyProvinceTerritoryName,CaucusShortName,IsVoteYea,IsVoteNay,IsVotePaired,DecisionResultName,PersonId
44,1,2022-03-24T18:13:00,47,Ms.,Nunavut,Yea,Lori,Idlout,Nunavut,NDP,true,false,false,Agreed To,111116
44,1,2022-03-24T18:13:00,47,Ms.,Toronto Centre,Yea,Marci,Ien,Ontario,Liberal,true,false,false,Agreed To,107097
44,1,2022-03-24T18:13:00,47,Ms.,Markham—Stouffville,Yea,Helena,Jaczek,Ontario,Liberal,true,false,false,Agreed To,105229
44,1,2022-03-24T18:13:00,47,Mr.,Edmonton Riverbend,Nay,Matt,Jeneroux,Alberta,Conservative,false,true,false,Agreed To,89167
44,1,2022-03-24T18:13:00,47,Mr.,Courtenay—Alberni,Yea,Gord,Johns,British Columbia,NDP,true,false,false,Agreed To,89263
44,1,2022-03-24T18:13:00,47,Ms.,Ahuntsic-Cartierville,Yea,Mélanie,Joly,Quebec,Liberal,true,false,false,Agreed To,88384
44,1,2022-03-24T18:13:00,47,Ms.,Labrador,Yea,Yvonne,Jones,Newfoundland and Labrador,Liberal,true,false,false,Agreed To,13218
44,1,2022-03-24T18:13:00,47,Mr.,Richmond Hill,Yea,Majid,Jowhari,Ontario,Liberal,true,false,false,Agreed To,88929
44,1,2022-03-24T18:13:00,47,Mr.,New Westminster—Burnaby,Yea,Peter,Julian,British Columbia,NDP,true,false,false,Agreed To,16399
44,1,2022-03-24T18:13:00,47,Ms.,London West,Yea,Arielle,Kayabaga,Ontario,Liberal,true,false,false,Agreed To,110502
44,1,2022-03-24T18:13:00,47,Mr.,Cape Breton—Canso,Yea,Mike,Kelloway,Nova Scotia,Liberal,true,false,false,Agreed To,104531
44,1,2022-03-24T18:13:00,47,Mr.,Calgary Rocky Ridge,Nay,Pat,Kelly,Alberta,Conservative,false,true,false,Agreed To,89130
44,1,2022-03-24T18:13:00,47,Ms.,Mississauga—Erin Mills,Yea,Iqra,Khalid,Ontario,Liberal,true,false,false,Agreed To,88849
44,1,2022-03-24T18:13:00,47,Ms.,Brampton West,Yea,Kamal,Khera,Ontario,Liberal,true,false,false,Agreed To,88705
44,1,2022-03-24T18:13:00,47,Mr.,Souris—Moose Mountain,Nay,Robert,Kitchen,Saskatchewan,Conservative,false,true,false,Agreed To,89095
44,1,2022-03-24T18:13:00,47,Mr.,Calgary Shepard,Nay,Tom,Kmiec,Alberta,Conservative,false,true,false,Agreed To,89136
44,1,2022-03-24T18:13:00,47,Ms.,Vimy,Yea,Annie,Koutrakis,Quebec,Liberal,true,false,false,Agreed To,105009
44,1,2022-03-24T18:13:00,47,Mr.,Regina—Wascana,Nay,Michael,Kram,Saskatchewan,Conservative,false,true,false,Agreed To,89080
44,1,2022-03-24T18:13:00,47,Mrs.,Hastings—Lennox and Addington,Nay,Shelby,Kramp-Neuman,Ontario,Conservative,false,true,false,Agreed To,110454
44,1,2022-03-24T18:13:00,47,Mr.,Battle River—Crowfoot,Nay,Damien,Kurek,Alberta,Conservative,false,true,false,Agreed To,105614
44,1,2022-03-24T18:13:00,47,Mrs.,Calgary Midnapore,Nay,Stephanie,Kusie,Alberta,Conservative,false,true,false,Agreed To,96367
44,1,2022-03-24T18:13:00,47,Mr.,Windsor—Tecumseh,Yea,Irek,Kusmierczyk,Ontario,Liberal,true,false,false,Agreed To,71820
44,1,2022-03-24T18:13:00,47,Ms.,Vancouver East,Yea,Jenny,Kwan,British Columbia,NDP,true,false,false,Agreed To,89346
44,1,2022-03-24T18:13:00,47,Mr.,Edmonton—Wetaskiwin,Nay,Mike,Lake,Alberta,Conservative,false,true,false,Agreed To,35857
44,1,2022-03-24T18:13:00,47,Mrs.,Orléans,Yea,Marie-France,Lalonde,Ontario,Liberal,true,false,false,Agreed To,92209
44,1,2022-03-24T18:13:00,47,Ms.,Saint-Laurent,Yea,Emmanuella,Lambropoulos,Quebec,Liberal,true,false,false,Agreed To,96350
44,1,2022-03-24T18:13:00,47,Mr.,LaSalle—Émard—Verdun,Yea,David,Lametti,Quebec,Liberal,true,false,false,Agreed To,88501
44,1,2022-03-24T18:13:00,47,Mr.,Winnipeg North,Yea,Kevin,Lamoureux,Manitoba,Liberal,true,false,false,Agreed To,30552
44,1,2022-03-24T18:13:00,47,Ms.,Thornhill,Nay,Melissa,Lantsman,Ontario,Conservative,false,true,false,Agreed To,110665
44,1,2022-03-24T18:13:00,47,Ms.,Sudbury,Yea,Viviane,Lapointe,Ontario,Liberal,true,false,false,Agreed To,110663
44,1,2022-03-24T18:13:00,47,Ms.,Shefford,Yea,Andréanne,Larouche,Quebec,Bloc Québécois,true,false,false,Agreed To,104973
