ParliamentNumber,SessionNumber,DecisionEventDateTime,DecisionDivisionNumber,PersonShortSalutation,ConstituencyName,VoteValueName,PersonOfficialFirstName,PersonOfficialLastName,ConstituencyProvinceTerritoryName,CaucusShortName,IsVoteYea,IsVoteNay,IsVotePaired,DecisionResultName,PersonId
40,2,2009-12-10T17:40:00,154,Ms.,Laval—Les Îles,Yea,Raymonde,Folco,Quebec,Liberal,true,false,false,Agreed To,328
40,2,2009-12-10T17:40:00,154,Ms.,Random—Burin—St. George's,Yea,Judy,Foote,Newfoundland and Labrador,Liberal,true,false,false,Agreed To,58519
40,2,2009-12-10T17:40:00,154,Mrs.,Châteauguay—Saint-Constant,Yea,Carole,Freeman,Quebec,Bloc Québécois,true,false,false,Agreed To,35343
40,2,2009-12-10T17:40:00,154,Ms.,Vancouver Centre,Yea,Hedy,Fry,British Columbia,Liberal,true,false,false,Agreed To,1589
40,2,2009-12-10T17:40:00,154,Ms.,Québec,Yea,Christiane,Gagnon,Quebec,Bloc Québécois,true,false,false,Agreed To,399
40,2,2009-12-10T17:40:00,154,Mr.,Ottawa—Orléans,Nay,Royal,Galipeau,Ontario,Conservative,false,true,false,Agreed To,35668
40,2,2009-12-10T17:40:00,154,Mrs.,Renfrew—Nipissing—Pembroke,Nay,Cheryl,Gallant,Ontario,Conservative,false,true,false,Agreed To,1809
40,2,2009-12-10T17:40:00,154,Mr.,Westmount—Ville-Marie,Yea,Marc,Garneau,Quebec,Liberal,true,false,false,Agreed To,10524
40,2,2009-12-10T17:40:00,154,Mr.,Montcalm,Yea,Roger,Gaudet,Quebec,Bloc Québécois,true,false,false,Agreed To,10432
40,2,2009-12-10T17:40:00,154,Mr.,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Nay,Bernard,Généreux,Quebec,Conservative,false,true,false,Agreed To,63908
40,2,2009-12-10T17:40:00,154,Mrs.,Saint Boniface,Nay,Shelly,Glover,Manitoba,Conservative,false,true,false,Agreed To,59115
40,2,2009-12-10T17:40:00,154,Mr.,Acadie—Bathurst,Yea,Yvon,Godin,New Brunswick,NDP,true,false,false,Agreed To,103
40,2,2009-12-10T17:40:00,154,Mr.,Edmonton East,Nay,Peter,Goldring,Alberta,Conservative,false,true,false,Agreed To,1325
40,2,2009-12-10T17:40:00,154,Mr.,Wascana,Yea,Ralph,Goodale,Saskatchewan,Liberal,true,false,false,Agreed To,1265
40,2,2009-12-10T17:40:00,154,Mr.,Cambridge,Nay,Gary,Goodyear,Ontario,Conservative,false,true,false,Agreed To,25504
40,2,2009-12-10T17:40:00,154,Mr.,Lotbinière—Chutes-de-la-Chaudière,Nay,Jacques,Gourde,Quebec,Conservative,false,true,false,Agreed To,35397
40,2,2009-12-10T17:40:00,154,Mr.,Nickel Belt,Yea,Claude,Gravelle,Ontario,NDP,true,false,false,Agreed To,31234
40,2,2009-12-10T17:40:00,154,Mrs.,Fleetwood—Port Kells,Nay,Nina,Grewal,British Columbia,Conservative,false,true,false,Agreed To,25505
40,2,2009-12-10T17:40:00,154,Ms.,Rivière-du-Nord,Yea,Monique,Guay,Quebec,Bloc Québécois,true,false,false,Agreed To,308
40,2,2009-12-10T17:40:00,154,Mrs.,Simcoe—Grey,Nay,Helena,Guergis,Ontario,Conservative,false,true,false,Agreed To,25506
40,2,2009-12-10T17:40:00,154,Mr.,Rimouski-Neigette—Témiscouata—Les Basques,Yea,Claude,Guimond,Quebec,Bloc Québécois,true,false,false,Agreed To,53294
40,2,2009-12-10T17:40:00,154,Mr.,Montmorency—Charlevoix—Haute-Côte-Nord,Yea,Michel,Guimond,Quebec,Bloc Québécois,true,false,false,Agreed To,181
40,2,2009-12-10T17:40:00,154,Ms.,Willowdale,Yea,Martha,Hall Findlay,Ontario,Liberal,true,false,false,Agreed To,31254
40,2,2009-12-10T17:40:00,154,Mr.,Calgary Southwest,Nay,Stephen,Harper,Alberta,Conservative,false,true,false,Agreed To,1733
40,2,2009-12-10T17:40:00,154,Mr.,Cariboo—Prince George,Nay,Richard,Harris,British Columbia,Conservative,false,true,false,Agreed To,1525
40,2,2009-12-10T17:40:00,154,Mr.,St. John's East,Yea,Jack,Harris,Newfoundland and Labrador,NDP,true,false,false,Agreed To,3633
40,2,2009-12-10T17:40:00,154,Mr.,Edmonton Centre,Nay,Laurie,Hawn,Alberta,Conservative,false,true,false,Agreed To,31267
40,2,2009-12-10T17:40:00,154,Mr.,South Surrey—White Rock—Cloverdale,Nay,Russ,Hiebert,British Columbia,Conservative,false,true,false,Agreed To,23897
40,2,2009-12-10T17:40:00,154,Mr.,Prince George—Peace River,Nay,Jay,Hill,British Columbia,Conservative,false,true,false,Agreed To,1530
40,2,2009-12-10T17:40:00,154,Mr.,Prince Albert,Nay,Randy,Hoback,Saskatchewan,Conservative,false,true,false,Agreed To,59148
40,2,2009-12-10T17:40:00,154,Ms.,Portage—Lisgar,Nay,Candice,Hoeppner,Manitoba,Conservative,false,true,false,Agreed To,59110
40,2,2009-12-10T17:40:00,154,Mr.,London West,Nay,Ed,Holder,Ontario,Conservative,false,true,false,Agreed To,58939
40,2,2009-12-10T17:40:00,154,Mr.,Ajax—Pickering,Yea,Mark,Holland,Ontario,Liberal,true,false,false,Agreed To,25508
40,2,2009-12-10T17:40:00,154,Mrs.,Algoma—Manitoulin—Kapuskasing,Yea,Carol,Hughes,Ontario,NDP,true,false,false,Agreed To,31289
40,2,2009-12-10T17:40:00,154,Mr.,Etobicoke—Lakeshore,Yea,Michael,Ignatieff,Ontario,Liberal,true,false,false,Agreed To,35573
40,2,2009-12-10T17:40:00,154,Mr.,Fort McMurray—Athabasca,Nay,Brian,Jean,Alberta,Conservative,false,true,false,Agreed To,25509
40,2,2009-12-10T17:40:00,154,Mrs.,Notre-Dame-de-Grâce—Lachine,Yea,Marlene,Jennings,Quebec,Liberal,true,false,false,Agreed To,289
40,2,2009-12-10T17:40:00,154,Mr.,Burnaby—New Westminster,Yea,Peter,Julian,British Columbia,NDP,true,false,false,Agreed To,16399
40,2,2009-12-10T17:40:00,154,Mr.,Pitt Meadows—Maple Ridge—Mission,Nay,Randy,Kamp,British Columbia,Conservative,false,true,false,Agreed To,25511
40,2,2009-12-10T17:40:00,154,Mr.,Brampton West,Yea,Andrew,Kania,Ontario,Liberal,true,false,false,Agreed To,58840
40,2,2009-12-10T17:40:00,154,Mr.,South Shore—St. Margaret's,Nay,Gerald,Keddy,Nova Scotia,Conservative,false,true,false,Agreed To,91
40,2,2009-12-10T17:40:00,154,Mr.,Parkdale—High Park,Yea,Gerard,Kennedy,Ontario,Liberal,true,false,false,Agreed To,59000
40,2,2009-12-10T17:40:00,154,Mr.,Calgary Southeast,Nay,Jason,Kenney,Alberta,Conservative,false,true,false,Agreed To,1302
40,2,2009-12-10T17:40:00,154,Mr.,Thornhill,Paired,Peter,Kent,Ontario,Conservative,false,false,true,Agreed To,35699
40,2,2009-12-10T17:40:00,154,Mr.,West Nova,Nay,Greg,Kerr,Nova Scotia,Conservative,false,true,false,Agreed To,35274
40,2,2009-12-10T17:40:00,154,Mr.,Souris—Moose Mountain,Nay,Ed,Komarnicki,Saskatchewan,Conservative,false,true,false,Agreed To,25513
40,2,2009-12-10T17:40:00,154,Mr.,Prince Edward—Hastings,Nay,Daryl,Kramp,Ontario,Conservative,false,true,false,Agreed To,695
40,2,2009-12-10T17:40:00,154,Mr.,Saint-Maurice—Champlain,Yea,Jean-Yves,Laforest,Quebec,Bloc Québécois,true,false,false,Agreed To,35499
40,2,2009-12-10T17:40:00,154,Mr.,Argenteuil—Papineau—Mirabel,Yea,Mario,Laframboise,Quebec,Bloc Québécois,true,false,false,Agreed To,1811
40,2,2009-12-10T17:40:00,154,Mr.,Edmonton—Mill Woods—Beaumont,Nay,Mike,Lake,Alberta,Conservative,false,true,false,Agreed To,35857
40,2,2009-12-10T17:40:00,154,Ms.,La Pointe-de-l'Île,Yea,Francine,Lalonde,Quebec,Bloc Québécois,true,false,false,Agreed To,362
40,2,2009-12-10T17:40:00,154,Mr.,Stormont—Dundas—South Glengarry,Nay,Guy,Lauzon,Ontario,Conservative,false,true,false,Agreed To,25516
40,2,2009-12-10T17:40:00,154,Mrs.,Saint-Bruno—Saint-Hubert,Yea,Carole,Lavallée,Quebec,Bloc Québécois,true,false,false,Agreed To,25517
40,2,2009-12-10T17:40:00,154,Mr.,Toronto—Danforth,Yea,Jack,Layton,Ontario,NDP,true,false,false,Agreed To,554
40,2,2009-12-10T17:40:00,154,Mr.,Roberval—Lac-Saint-Jean,Nay,Denis,Lebel,Quebec,Conservative,false,true,false,Agreed To,38633
40,2,2009-12-10T17:40:00,154,Mr.,Abitibi—Témiscamingue,Yea,Marc,Lemay,Quebec,Bloc Québécois,true,false,false,Agreed To,25529
40,2,2009-12-10T17:40:00,154,Mr.,Glengarry—Prescott—Russell,Nay,Pierre,Lemieux,Ontario,Conservative,false,true,false,Agreed To,35580
40,2,2009-12-10T17:40:00,154,Ms.,Halifax,Yea,Megan,Leslie,Nova Scotia,NDP,true,false,false,Agreed To,58550
40,2,2009-12-10T17:40:00,154,Mr.,Chambly—Borduas,Yea,Yves,Lessard,Quebec,Bloc Québécois,true,false,false,Agreed To,25518
40,2,2009-12-10T17:40:00,154,Mr.,Abitibi—Baie-James—Nunavik—Eeyou,Yea,Yvon,Lévesque,Quebec,Bloc Québécois,true,false,false,Agreed To,25519
40,2,2009-12-10T17:40:00,154,Mr.,Huron—Bruce,Nay,Ben,Lobb,Ontario,Conservative,false,true,false,Agreed To,35600
40,2,2009-12-10T17:40:00,154,Mr.,Regina—Lumsden—Lake Centre,Nay,Tom,Lukiwski,Saskatchewan,Conservative,false,true,false,Agreed To,25520
40,2,2009-12-10T17:40:00,154,Mr.,Saanich—Gulf Islands,Nay,Gary,Lunn,British Columbia,Conservative,false,true,false,Agreed To,1547
40,2,2009-12-10T17:40:00,154,Mr.,Nanaimo—Alberni,Nay,James,Lunney,British Columbia,Conservative,false,true,false,Agreed To,1814
40,2,2009-12-10T17:40:00,154,Mr.,Cardigan,Yea,Lawrence,MacAulay,Prince Edward Island,Liberal,true,false,false,Agreed To,33
40,2,2009-12-10T17:40:00,154,Mr.,Central Nova,Nay,Peter,MacKay,Nova Scotia,Conservative,false,true,false,Agreed To,82
40,2,2009-12-10T17:40:00,154,Mr.,Oxford,Nay,Dave,MacKenzie,Ontario,Conservative,false,true,false,Agreed To,891
40,2,2009-12-10T17:40:00,154,Mr.,Bramalea—Gore—Malton,Yea,Gurbax,Malhi,Ontario,Liberal,true,false,false,Agreed To,536
40,2,2009-12-10T17:40:00,154,Mr.,Verchères—Les Patriotes,Yea,Luc,Malo,Quebec,Bloc Québécois,true,false,false,Agreed To,35517
40,2,2009-12-10T17:40:00,154,Mr.,Elmwood—Transcona,Yea,Jim,Maloway,Manitoba,NDP,true,false,false,Agreed To,59103
40,2,2009-12-10T17:40:00,154,Mr.,Hamilton East—Stoney Creek,Yea,Wayne,Marston,Ontario,NDP,true,false,false,Agreed To,681
40,2,2009-12-10T17:40:00,154,Mr.,Winnipeg Centre,Yea,Pat,Martin,Manitoba,NDP,true,false,false,Agreed To,1174
40,2,2009-12-10T17:40:00,154,Mr.,Sault Ste. Marie,Yea,Tony,Martin,Ontario,NDP,true,false,false,Agreed To,25521
40,2,2009-12-10T17:40:00,154,Mr.,Esquimalt—Juan de Fuca,Yea,Keith,Martin,British Columbia,Liberal,true,false,false,Agreed To,1441
40,2,2009-12-10T17:40:00,154,Mr.,Windsor West,Yea,Brian,Masse,Ontario,NDP,true,false,false,Agreed To,9137
40,2,2009-12-10T17:40:00,154,Ms.,London—Fanshawe,Yea,Irene,Mathyssen,Ontario,NDP,true,false,false,Agreed To,764
40,2,2009-12-10T17:40:00,154,Mr.,Okanagan—Shuswap,Nay,Colin,Mayes,British Columbia,Conservative,false,true,false,Agreed To,35952
40,2,2009-12-10T17:40:00,154,Mr.,Markham—Unionville,Yea,John,McCallum,Ontario,Liberal,true,false,false,Agreed To,1817
40,2,2009-12-10T17:40:00,154,Mr.,Brant,Nay,Phil,McColeman,Ontario,Conservative,false,true,false,Agreed To,35539
40,2,2009-12-10T17:40:00,154,Mr.,Ottawa South,Yea,David,McGuinty,Ontario,Liberal,true,false,false,Agreed To,9486
40,2,2009-12-10T17:40:00,154,Mr.,Scarborough—Guildwood,Yea,John,McKay,Ontario,Liberal,true,false,false,Agreed To,957
40,2,2009-12-10T17:40:00,154,Mrs.,Kamloops—Thompson—Cariboo,Nay,Cathy,McLeod,British Columbia,Conservative,false,true,false,Agreed To,59265
40,2,2009-12-10T17:40:00,154,Mr.,Pickering—Scarborough East,Yea,Dan,McTeague,Ontario,Liberal,true,false,false,Agreed To,921
40,2,2009-12-10T17:40:00,154,Mr.,Marc-Aurèle-Fortin,Yea,Serge,Ménard,Quebec,Bloc Québécois,true,false,false,Agreed To,18766
40,2,2009-12-10T17:40:00,154,Mrs.,Brossard—La Prairie,Yea,Alexandra,Mendès,Quebec,Liberal,true,false,false,Agreed To,58621
40,2,2009-12-10T17:40:00,154,Mr.,Macleod,Nay,Ted,Menzies,Alberta,Conservative,false,true,false,Agreed To,3449
40,2,2009-12-10T17:40:00,154,Mr.,Yellowhead,Nay,Rob,Merrifield,Alberta,Conservative,false,true,false,Agreed To,1818
40,2,2009-12-10T17:40:00,154,Mr.,Bruce—Grey—Owen Sound,Nay,Larry,Miller,Ontario,Conservative,false,true,false,Agreed To,25522
40,2,2009-12-10T17:40:00,154,Ms.,Beaches—East York,Yea,Maria,Minna,Ontario,Liberal,true,false,false,Agreed To,528
40,2,2009-12-10T17:40:00,154,Mr.,Port Moody—Westwood—Port Coquitlam,Nay,James,Moore,British Columbia,Conservative,false,true,false,Agreed To,1819
40,2,2009-12-10T17:40:00,154,Mr.,Fundy Royal,Nay,Rob,Moore,New Brunswick,Conservative,false,true,false,Agreed To,17210
40,2,2009-12-10T17:40:00,154,Mrs.,Ahuntsic,Yea,Maria,Mourani,Quebec,Bloc Québécois,true,false,false,Agreed To,31508
40,2,2009-12-10T17:40:00,154,Mr.,Outremont,Yea,Thomas,Mulcair,Quebec,NDP,true,false,false,Agreed To,26684
40,2,2009-12-10T17:40:00,154,Mr.,Moncton—Riverview—Dieppe,Yea,Brian,Murphy,New Brunswick,Liberal,true,false,false,Agreed To,35297
40,2,2009-12-10T17:40:00,154,Mr.,Charlottetown,Yea,Shawn,Murphy,Prince Edward Island,Liberal,true,false,false,Agreed To,1820
40,2,2009-12-10T17:40:00,154,Ms.,Vancouver Quadra,Yea,Joyce,Murray,British Columbia,Liberal,true,false,false,Agreed To,35950
40,2,2009-12-10T17:40:00,154,Mr.,Gatineau,Yea,Richard,Nadeau,Quebec,Bloc Québécois,true,false,false,Agreed To,9342
40,2,2009-12-10T17:40:00,154,Mr.,Niagara Falls,Nay,Rob,Nicholson,Ontario,Conservative,false,true,false,Agreed To,820
40,2,2009-12-10T17:40:00,154,Mr.,Northumberland—Quinte West,Nay,Rick,Norlock,Ontario,Conservative,false,true,false,Agreed To,30338
40,2,2009-12-10T17:40:00,154,Mr.,Calgary East,Nay,Deepak,Obhrai,Alberta,Conservative,false,true,false,Agreed To,1287
40,2,2009-12-10T17:40:00,154,Mr.,Carleton—Mississippi Mills,Nay,Gordon,O'Connor,Ontario,Conservative,false,true,false,Agreed To,25523
40,2,2009-12-10T17:40:00,154,Ms.,Durham,Nay,Bev,Oda,Ontario,Conservative,false,true,false,Agreed To,19994
40,2,2009-12-10T17:40:00,154,Mrs.,Miramichi,Nay,Tilly,O'Neill Gordon,New Brunswick,Conservative,false,true,false,Agreed To,58581
40,2,2009-12-10T17:40:00,154,Mr.,Brome—Missisquoi,Yea,Christian,Ouellet,Quebec,Bloc Québécois,true,false,false,Agreed To,31538
40,2,2009-12-10T17:40:00,154,Mr.,Saint-Léonard—Saint-Michel,Yea,Massimo,Pacetti,Quebec,Liberal,true,false,false,Agreed To,9135
40,2,2009-12-10T17:40:00,154,Mr.,Louis-Hébert,Yea,Pascal-Pierre,Paillé,Quebec,Bloc Québécois,true,false,false,Agreed To,58702
40,2,2009-12-10T17:40:00,154,Mr.,Hochelaga,Yea,Daniel,Paillé,Quebec,Bloc Québécois,true,false,false,Agreed To,63585
40,2,2009-12-10T17:40:00,154,Mr.,Joliette,Yea,Pierre,Paquette,Quebec,Bloc Québécois,true,false,false,Agreed To,1824
40,2,2009-12-10T17:40:00,154,Mr.,Mégantic—L'Érable,Nay,Christian,Paradis,Quebec,Conservative,false,true,false,Agreed To,35422
40,2,2009-12-10T17:40:00,154,Mr.,Pierrefonds—Dollard,Yea,Bernard,Patry,Quebec,Liberal,true,false,false,Agreed To,387
40,2,2009-12-10T17:40:00,154,Mr.,Medicine Hat,Nay,LaVar,Payne,Alberta,Conservative,false,true,false,Agreed To,59217
40,2,2009-12-10T17:40:00,154,Mr.,London North Centre,Yea,Glen,Pearson,Ontario,Liberal,true,false,false,Agreed To,35621
40,2,2009-12-10T17:40:00,154,Mr.,Charlesbourg—Haute-Saint-Charles,Nay,Daniel,Petit,Quebec,Conservative,false,true,false,Agreed To,35340
40,2,2009-12-10T17:40:00,154,Mr.,Bas-Richelieu—Nicolet—Bécancour,Yea,Louis,Plamondon,Quebec,Bloc Québécois,true,false,false,Agreed To,413
40,2,2009-12-10T17:40:00,154,Mr.,Nepean—Carleton,Nay,Pierre,Poilievre,Ontario,Conservative,false,true,false,Agreed To,25524
40,2,2009-12-10T17:40:00,154,Mr.,Drummond,Yea,Roger,Pomerleau,Quebec,Bloc Québécois,true,false,false,Agreed To,1759
40,2,2009-12-10T17:40:00,154,Mr.,Elgin—Middlesex—London,Nay,Joe,Preston,Ontario,Conservative,false,true,false,Agreed To,25448
40,2,2009-12-10T17:40:00,154,Mr.,Hull—Aylmer,Yea,Marcel,Proulx,Quebec,Liberal,true,false,false,Agreed To,1784
40,2,2009-12-10T17:40:00,154,Mr.,Thunder Bay—Rainy River,Yea,John,Rafferty,Ontario,NDP,true,false,false,Agreed To,30467
